nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
Menta en bolsitas Carrefour 50 ud.,2.05,27.33,la despensa,desayuno,Cereales y galletas,€/kg,
Monster Energy Juiced Bebida Energética bad apple lata 50 cl.,2.05,4.1,bebidas,refrescos,Agua y refrescos,€/l,
Alubias con su sofrito Hoy Legumbres Litoral sin gluten 430 g.,2.05,4.77,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Plumas nº 6 ecológico Gallo 450 g.,2.05,4.56,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Alubia blanca ecológica Pedro Luis 250 g.,2.05,8.2,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Pan de Hamburguesa brioche Juanito Baker 150 g.,2.05,13.67,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Yogur desnatado sabor limón Danone Vitalinea sin azúcar añadido pack de 4 unidades de 120 g.,2.05,4.27,la despensa,yogures y postres,Postres y yogures,€/kg,
Gel de ducha al extracto de frambuesa Carrefour Kids 300 ml.,2.05,0.681,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Champú con aceites de argán y macadamia para pelo seco dañado Carrefour Soft 400 ml.,2.05,0.511,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Crema autobrillante c/aplicador burdeos Carrefour 50 ml.,2.05,4.101,limpieza y hogar,calzado,calzado,€/100ml,
Arroz con leche sin azúcar añadido Reina sin gluten pack de 4 unidades de 125 g.,2.05,4.1,la despensa,yogures y postres,Postres y yogures,€/kg,
Pechuga de pollo al natural en tiras Carrefour sin gluten 140 g.,2.05,14.64,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Crema autobrillante c/aplicador canela Carrefour 50 ml.,2.05,4.101,limpieza y hogar,calzado,calzado,€/100ml,
Patatas fritas en aceite de oliva ecológicas Carrefour Bio 100 g.,2.05,20.5,la despensa,aperitivos,Aperitivos,€/kg,
Crema de calzado con aplicador incoloro autobrillante Carrefour 50 ml.,2.05,41.0,limpieza y hogar,calzado,calzado,€/l,
Barrita energética con galleta sabor yogur Victory Endurance 50 g.,2.05,41.0,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Gel de ducha argán Carrefour 750 ml.,2.05,0.271,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Crema autobrillante c/aplicador marrón Carrefour 50 ml.,2.05,4.101,limpieza y hogar,calzado,calzado,€/100ml,
Fregasuelos multi superficies frescor intenso higieniza y perfuma aroma lavanda Disiclin 1000 ml.,2.05,2.05,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/l,
Galletas de chocolate mini Dibus Gullón sin lactosa 250 g.,2.05,8.2,la despensa,desayuno,Cereales y galletas,€/kg,
Champú hidratante con agua de coco & bambú para pelo apagado deshidratado Carrefour Soft 400 ml.,2.05,0.511,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Crema autobrillante c/aplicador negro Carrefour 50 ml.,2.05,4.101,limpieza y hogar,calzado,calzado,€/100ml,
Papel aluminio Carrefour 30 metros.,2.05,0.07,limpieza y hogar,conservacion de alimentos,Limpieza y hogar,€/m,
Champú micelar Carrefour Soft 400 ml.,2.05,0.511,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Champú detox Carrefour Soft 400 ml.,2.05,0.511,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Bífidus desnatado edulcorado natural sin azúcar añadido Carrefour Classic' pack de 8 unidades de 125 g.,2.05,2.05,la despensa,yogures y postres,Postres y yogures,€/kg,
Crema corporal Rosa Mosqueta pieles secas Carrefour 200 ml.,2.05,1.021,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Garbanzos con su sofrito Hoy Legumbres Litoral sin gluten 440 g.,2.05,4.66,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Almendra tostada Simpl 200 g.,2.05,10.25,la despensa,aperitivos,Aperitivos,€/kg,
Queso emmental taco Carrefour 250 g,2.05,8.2,productos frescos,quesos,Charcutería y quesos,€/kg,
"Yogures desnatados aromatizados sabor coco, fresa, frutos del bosque y limón Zero Danone pack de 8 unidades de 120 g.",2.03,2.11,la despensa,yogures y postres,Postres y yogures,€/kg,
Hongo portobello Carrefour 300 g aprox,2.02,6.75,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Ensalada del huerto 400 g,1.99,4.97,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Fideos orientales Fusian Maggi 121 g.,1.99,16.45,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Doritos Tex Mex 140 g.,1.99,14.21,la despensa,aperitivos,Aperitivos,€/kg,
Patatas fritas sabor vinagreta Lay's 150 g.,1.99,13.27,la despensa,aperitivos,Aperitivos,€/kg,
Gelatina sabor frutos del bosque sin azúcar Royal sin gluten pack de 4 unidades de 90 g.,1.99,5.53,la despensa,yogures y postres,Postres y yogures,€/kg,
Patatas fritas campesinas Lay's 150 g.,1.99,13.27,la despensa,aperitivos,Aperitivos,€/kg,
Desodorante roll-on eficacia 24h con aloe vera ecológico Carrefour Soft Bio 50 ml.,1.99,3.981,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Masa de hojaldre rectangular Carrefour Classic' 230 g.,1.99,8.65,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Yogur desnatado proteína stracciatella Danone sin gluten sin azúcar añadido pack de 4 unidades de 105 g.,1.99,4.91,la despensa,yogures y postres,Postres y yogures,€/kg,
Fideos orientales clásicos Fussian Yakisoba Maggi 120 g.,1.99,16.58,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Masa filo Carrefour 250 g.,1.99,7.96,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Nachos sabor chilli Doritos 140 g.,1.99,14.21,la despensa,aperitivos,Aperitivos,€/kg,
Desodorante roll-on eficacia 24h con hibisco ecológico Carrefour Soft Bio 50 ml.,1.99,3.981,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Fideos orientales sabor pollo Fusian Yakisoba Maggi 120 g.,1.99,16.58,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Nachos al toque de sal Dippas Doritos 150 g.,1.99,13.27,la despensa,aperitivos,Aperitivos,€/kg,
Crema para las durezas del pie Carrefour Soft 50 ml.,1.99,3.981,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Patatas fritas sabor jamón Ruffles 150 g.,1.99,13.27,la despensa,aperitivos,Aperitivos,€/kg,
Patatas fritas sabor york queso Ruffles 150 g.,1.99,13.27,la despensa,aperitivos,Aperitivos,€/kg,
Enjuague Bucal Gingival Carrefour Soft 500 ml.,1.99,0.401,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100ml,
Corazones de alcachofa 8/10 Carrefour 240 g.,1.99,8.29,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Masa para pizza rectangular Buitoni 260 g.,1.99,7.65,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Enjuague bucal sensitive 0% alcohol Carrefour Soft 500 ml.,1.99,0.401,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100ml,
Enjuague bucal protection Carrefour Soft 500 ml.,1.99,0.401,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100ml,
Fideos orientales de pollo con especias Fusian Maggi 121 g.,1.99,16.45,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Caramelos sabor cítricos sin azúcar Virginias sin gluten 110 g.,1.99,18.09,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Aceitunas verdes manzanilla con hueso Jolca pack de 3 bolsas de 65 g.,1.99,10.21,la despensa,aperitivos,Aperitivos,€/kg,
Dentífrico infantil fresa ecológico Carrefour Soft 50 ml.,1.99,3.981,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100ml,
Natillas de chocolate Danone Danet sin gluten pack de 4 unidades de 120 g.,1.99,4.15,la despensa,yogures y postres,Postres y yogures,€/kg,
Bollito de chocolate bandeja Phoskitos 4 ud.,1.99,14.21,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Pepinillos Carrefour 360 g.,1.99,5.53,la despensa,aperitivos,Aperitivos,€/kg,
Vaselina para labios hidratante Soft Carrefour 100 g.,1.99,1.991,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100g,
Salchichas Frankfurt El Pozo sin gluten pack de 3 unidades 160 g,1.99,4.15,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Sticks de Fuet Ecológico Salgot sin gluten y sin lactosa 40 g,1.99,49.75,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Patatas fritas en aceite de oliva virgen extra Casa Vella sin gluten y sin lactosa 150 g.,1.99,13.27,la despensa,aperitivos,Aperitivos,€/kg,
Preparado de coco sabor fresa Carrefour Sensation pack de 4 unidades de 100 g.,1.99,4.97,la despensa,yogures y postres,Postres y yogures,€/kg,
Preparado de coco natural Carrefour Sensation pack de 4 unidades de 100 g.,1.99,4.97,la despensa,yogures y postres,Postres y yogures,€/kg,
Bonito del norte en aceite de oliva Extra Carrefour 72 g.,1.99,27.64,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Bonito del norte en escabeche Carrefour 72 g.,1.99,27.64,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Regañá El Antequerano 150 g,1.99,13.27,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Salchichas tipo Bockwurst ahumadas Original Carrefour 250 g.,1.99,7.96,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Tarrito de verduritas con pollo y ternera desde 6 meses Hero Baby sin gluten 235 g.,1.99,8.47,bebe,alimentacion infantil,Bebé,€/kg,
Chocolate negro con almendras caramelizadas ecológico Carrefour Bio 100 g.,1.99,19.9,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Chocolate negro sabor naranja ecológico Carrefour Bio 100 g.,1.99,19.9,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Tarrito de zanahorias con arroz en caldito de pollo desde 6 meses Hero Baby sin gluten 235 g.,1.99,8.47,bebe,alimentacion infantil,Bebé,€/kg,
Chocolate con leche con avellanas caramelizadas ecológico Carrefour Bio 100 g.,1.99,19.9,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Picos artesanos Panceliac sin gluten y sin lactosa 100 g.,1.99,19.9,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Tarrito de arroz con pollo desde 6 meses Hero Baby sin gluten 235 g.,1.99,8.47,bebe,alimentacion infantil,Bebé,€/kg,
Chocolate con leche ecológico Carrefour Bio 100 g.,1.99,19.9,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Tarrito de zanahorias baby con ternera desde 6 meses Hero Baby sin gluten 235 g.,1.99,8.47,bebe,alimentacion infantil,Bebé,€/kg,
Chocolate negro 74% cacao ecológico Carrefour Bio 100 g.,1.99,19.9,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Tarrito de verduritas con merluza desde 6 meses Hero Baby 235 g.,1.99,8.47,bebe,alimentacion infantil,Bebé,€/kg,
Tarrito de verduritas con delicias de pavo desde 6 meses Hero Baby 235 g.,1.99,8.47,bebe,alimentacion infantil,Bebé,€/kg,
Mermelada de fresa Helios pack de 10 unidades de 25 g.,1.99,7.96,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Tarrito de crema bechamel con lenguado desde 6 meses Hero Baby 235 g.,1.99,8.47,bebe,alimentacion infantil,Bebé,€/kg,
Yogur líquido de fresa Carrefour Classic' pack de 12 unidades de 100 g.,1.99,1.66,la despensa,yogures y postres,Postres y yogures,€/kg,
Mermelada de melocotón Helios pack de 10 unidades de 25 g.,1.99,7.96,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Champú aloe vera Natural Care Amalfi 400 ml.,1.99,0.501,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Yogur líquido natural azucarado Carrefour Classic' pack de 12 unidades de 100 g.,1.99,1.66,la despensa,yogures y postres,Postres y yogures,€/kg,
Hogaza de pan mediana ecológica Carrefour Bio 400 g aprox,1.99,4.42,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Champú cereza 2en1 Kids Carrefour Soft 250 ml.,1.99,0.801,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
"Yogur sabor limón, galleta, fresa y macedonia Danone sin gluten pack de 8 unidades de 120 g.",1.99,2.07,la despensa,yogures y postres,Postres y yogures,€/kg,
Cacahuete piel tostado Carrefour El Mercado tarrina de 250 g,1.99,7.96,la despensa,aperitivos,Aperitivos,€/kg,
Pincel sombreados Fussy 1 ud.,1.99,1.99,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Surtido de cebollas para ensalada Carrefour 500 g,1.99,3.98,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Boquerones Carrefour sin gluten 80 g.,1.99,24.87,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Pan de brioche para hamburguesa DulceSol 4 ud.,1.99,5.85,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Mortadela estilo Italiana en lonchas Carrefour El Mercado sin gluten y sin lactosa 150 g,1.99,13.27,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Pan Burguer chapatta cristalina 2 ud,1.99,8.65,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Cepillo de uñas Fussy 1 ud.,1.99,1.99,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Cortauñas metálico sin depósito Carrefour 1 ud.,1.99,1.99,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Pasa sultana (sin semilla) Carrefour tarrina 300 g,1.99,6.63,la despensa,aperitivos,Aperitivos,€/kg,
Yogur griego con mango Nestle - Yaos sin gluten pack de 4 unidades de 115 g.,1.99,4.33,la despensa,yogures y postres,Postres y yogures,€/kg,
Banana rodajas deshidratada Carrefour tarrina 175 g,1.99,11.37,la despensa,aperitivos,Aperitivos,€/kg,
Cóctel picante Carrefour tarrina 150 g,1.99,13.27,la despensa,aperitivos,Aperitivos,€/kg,
Garbanzos tostados Carrefour tarrina 240 g,1.99,8.29,la despensa,aperitivos,Aperitivos,€/kg,
Salsa Korean BBQ Heinz 220 ml.,1.99,7.51,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Kéfir líquido natural Nestlé 500 g.,1.99,3.98,la despensa,yogures y postres,Postres y yogures,€/kg,
Burguer brioche Lord Dani Selection 2 ud.,1.99,15.31,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
