nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
Postre lácteo al chocolate Nestlé sin gluten pack de 4 unidades de 125 g.,1.99,3.98,la despensa,yogures y postres,Postres y yogures,€/kg,
Guacamole Carrefour Bio tarrina 200 g,1.99,9.95,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Compresas normal Fina y Segura Evax 16 ud.,1.99,0.12,perfumeria e higiene,higiene intima,Cuidado facial y corporal,€/ud,
Pechuga de Pavo Braseado en finas lonchas Carrefour El Mercado sin gluten 200 g,1.99,9.95,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Atún en salsa de tomate Carrefour pack de 3 latas de 52 g.,1.99,12.76,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Yogur liquido desnatado de lima-limón sin azúcar añadido Nestlé Sveltesse sin gluten 750 g.,1.99,2.65,la despensa,yogures y postres,Postres y yogures,€/kg,
Hogaza de Pan 100% Integral Carrefour 500 g.,1.99,3.98,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Maíz frito y salado Carrefour 200 g.,1.99,9.95,la despensa,aperitivos,Aperitivos,€/kg,
Chocolate negro con naranja confitada Carrefour Extra 200 g.,1.99,9.95,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Mousse de limón Nestlé La Lechera pack de 4 unidades de 62 g.,1.99,8.43,la despensa,yogures y postres,Postres y yogures,€/kg,
Aperitivo de maíz Pombear Grefusa 80 g.,1.99,24.87,la despensa,aperitivos,Aperitivos,€/kg,
Yogur azucarado natural Danone sin gluten pack de 8 unidades de 120 g.,1.99,2.07,la despensa,yogures y postres,Postres y yogures,€/kg,
Yogur natural Danone pack de 8 unidades de 120 g.,1.99,2.07,la despensa,yogures y postres,Postres y yogures,€/kg,
Sal marina en escamas Carrefour 125 g.,1.99,15.92,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Crema hidratante cara y cuerpo con aceite de jojoba y vitamina E Carrefour 250 ml.,1.99,0.801,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Chapatta cristal kornspitz 2 unidades de 93 g,1.99,8.65,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Jamón Cocido Extra en finas lonchas Carrefour El Mercado 200 g,1.99,9.95,productos frescos,charcuteria,Charcutería y quesos,€/kg,
