nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia
Agua micelar clásica para pieles normales todo en uno Garnier Skin Active 100 ml.,1.81,1.811,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Desmaquillantes waterproof Carrefour Soft 75 ml.,1.81,2.411,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Té verde con limón en bolsitas Carrefour 30 ud.,1.8,40.0,la despensa,desayuno,"Cacao, café e infusiones",KILO
Champú anticaída purificante cabellos grasos Science Les Cosmétiques 400 ml.,1.8,0.451,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Chocolate blanco con avellanas enteras Extra Carrefour sin gluten 200 g.,1.8,9.0,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
"Infusión Línea con té rojo, malva e hinojo en bolsitas Carrefour 30 ud.",1.8,40.0,la despensa,desayuno,"Cacao, café e infusiones",KILO
Absorbeolor frigorífico Carrefour Expert 1 ud.,1.8,1.8,limpieza y hogar,ambientadores,Limpieza y hogar,UNIDAD
Ensaladilla rusa con atún Carrefour 250 g.,1.8,7.2,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Mayonesa Ybarra sin gluten y sin lactosa envase 400 ml.,1.8,4.5,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Queso fundido en lonchas light Carrefour 300 g.,1.8,6.0,productos frescos,quesos,Charcutería y quesos,KILO
Tónica Fever-Tree Light botella 20 cl.,1.8,9.0,bebidas,refrescos,Agua y refrescos,LITRO
Ginger Beer Fever-Tree Premium botella 20 cl.,1.8,9.0,bebidas,refrescos,Agua y refrescos,LITRO
Arroz redondo Sos 1 kg.,1.8,1.8,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Acondicionador reparador para cabello seco y dañado Ultra Repair Science Les Cosmétiques 400 ml.,1.8,0.451,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Arcos dentales limpieza interdental Carrefour Soft 60 ud.,1.8,0.03,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD
"Cerveza Corona Cero 0,0 alcohol botella 33 cl.",1.8,5.45,bebidas,cerveza,Bodega,LITRO
"Bebida de maracuyá, manzana y mango Carrefour sin azúcar añadido brik 1 l.",1.8,1.8,bebidas,aguas y zumos,Agua y refrescos,LITRO
Tónica Fever-Tree Mediterranean botella 20 cl.,1.8,9.0,bebidas,refrescos,Agua y refrescos,LITRO
Tarta de queso Carrefour Original sin gluten 180 g.,1.8,10.0,la despensa,yogures y postres,Postres y yogures,KILO
Petit Nestlé Nesquik sin gluten pack de 6 unidades de 60 g.,1.8,5.0,la despensa,yogures y postres,Postres y yogures,KILO
Champú anticaspa para cabello normal Science Les Cosmétiques 400 ml.,1.8,0.451,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Clorhexidina 2% Carrefour Soft 50 ml.,1.8,3.601,parafarmacia,botiquin,Fitoterapia y parafarmacia,100 ML
Cereales sticks Fibra Carrefour 500 g.,1.8,3.6,la despensa,desayuno,Cereales y galletas,KILO
Protegeslip & tanga negro Carrefour 28 ud.,1.8,0.06,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Almeja blanca al natural Classic Carrefour 63 g.,1.8,28.57,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
"Bálsamo labial FP15 Hydro Care Liposan 4,8 g.",1.8,1.8,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD
Preparado lácteo Buenas Noches Puleva sin lactosa brik 1 l.,1.8,1.8,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO
Gazpacho Carrefour sin gluten 1 l.,1.8,1.8,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",LITRO
Acondicionador revitalizante Resist Plus con arginina cabellos frágiles Science Les Cosmétiques 400 ml.,1.8,0.451,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Bebida de avena calcio sin azúcar añadido YoSoy sin gluten brik 1 l.,1.8,1.8,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO
Regañá con aceite de oliva Panceliac sin gluten y sin lactosa 80 g.,1.8,22.5,la despensa,panaderia bolleria y pasteleria,"Aceite, especias y salsas",KILO
"Zumo de naranja Simon Life botella 1,5 l.",1.8,1.2,bebidas,aguas y zumos,Zumos,LITRO
Champú y acondicionador anticaspa 2 en 1 para todo tipo de cabello Science Les Cosmétiques 400 ml.,1.8,0.451,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Bebida de melocotón Granini pack 3 minibrik de 20 cl.,1.8,3.0,bebidas,aguas y zumos,Agua y refrescos,LITRO
"Zumo de mandarina  Simon Life botella 1,5 l.",1.8,1.2,bebidas,aguas y zumos,Zumos,LITRO
Monster Energy Green Bebida Energética lata 50 cl.,1.79,3.58,la despensa,aperitivos,Aperitivos,LITRO
Sardinas en aceite de oliva Calvo 84 g.,1.79,21.31,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Galleta María cacao Carrefour 265 g.,1.79,6.75,la despensa,desayuno,Cereales y galletas,KILO
Natillas de vainilla con alto contenido en proteínas Reina sin gluten pack de 4 unidades de 125 g.,1.79,3.58,la despensa,yogures y postres,Postres y yogures,UNIDAD
Cocktail de encurtidos sabor suave Rioverde sin gluten 180 g.,1.79,9.94,la despensa,aperitivos,Aperitivos,KILO
Aperitivo de maíz y chía con sal marina Risi Mios! sin gluten 150 g.,1.79,11.93,la despensa,aperitivos,"Aceite, especias y salsas",KILO
Guindillas en vinagre Rioverde 120 g.,1.79,14.92,la despensa,aperitivos,"Aceite, especias y salsas",KILO
Filetes de caballa de Andalucía en aceite de girasol Tejero 80 g.,1.79,22.37,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
100 Clips Niquelados Carrefour,1.79,0.02,limpieza y hogar,papeleria,papeleria,UNIDAD
Sardinas con tomate Isabel sin gluten y sin lactosa 81 g.,1.79,22.1,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Sardinas en escabeche Isabel sin gluten y sin lactosa 81 g.,1.79,22.1,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Yogur griego de lima limón Carrefour Extra pack de 6 unidades de 125 g.,1.79,2.39,la despensa,yogures y postres,Postres y yogures,KILO
Filetes de caballa del sur en aceite de girasol Carrefour pack de 2 latas de 65 g.,1.79,13.77,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
30 Bolsas de Basura Envases Plástico Reciclado CARREFOUR 30 l.,1.79,0.06,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD
Aperitivo de maíz y cebolla con balsámico de Módena Risi Mios! sin gluten 150 g.,1.79,11.93,la despensa,aperitivos,Aperitivos,KILO
Zumo multifrutas Carrefour exprimido brik 1 l.,1.79,1.79,bebidas,aguas y zumos,Zumos,LITRO
Kas Zero de naranja sin azúcar botella 2 l.,1.79,0.89,bebidas,refrescos,Agua y refrescos,LITRO
Sacapuntas Metal 2 Orificios Carrefour,1.79,1.79,limpieza y hogar,papeleria,papeleria,UNIDAD
Sprite de lima-limón sin azúcar botella 2 l.,1.79,0.89,bebidas,refrescos,Agua y refrescos,LITRO
Aperitivo de maíz y boletus sabor cebolla caramelizada Risi Mios! sin gluten 150 g.,1.79,11.93,la despensa,aperitivos,Aperitivos,KILO
Palitos zanahoria vaso 165 g,1.79,10.85,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Raviolis al huevo con carne Classic Carrefour 420 g.,1.79,4.26,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Sardinas en aceite de oliva Isabel 81 g.,1.79,22.1,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Salchichas Frankfurt Carrefour pack de 4 unidades 170 g.,1.79,2.63,productos frescos,charcuteria,"Aceite, especias y salsas",KILO
"Verduras para micro brócoli, zanahoria y puerro Florette 300 g",1.79,5.97,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Chocolate con leche relleno de triple caramelo Milka 90 g.,1.79,19.89,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Chocolate con leche y galleta Jungly Nestlé 125 g.,1.79,14.32,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Chorizo dulce sin gluten 200 g,1.79,8.95,productos frescos,charcuteria,Charcutería y quesos,KILO
Chocolate blanco con galleta Nestlé Jungly 125 g.,1.79,14.32,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Calabaza sepallo Carrefour 2 kg aprox,1.79,1.79,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Pan rustic con aceite de oliva Andrés 140 g.,1.79,12.79,la despensa,panaderia bolleria y pasteleria,"Aceite, especias y salsas",KILO
Ambientador para coche océano Carrefour 1 ud.,1.79,1.79,limpieza y hogar,ambientadores,Limpieza y hogar,UNIDAD
Chocolate blanco Nestlé Milkybar 100 g.,1.79,17.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Monster Energy Ultra Watermelon Bebida Energética zero azúcar lata 50 cl.,1.79,3.58,bebidas,alcoholes,Bodega,LITRO
Monster Energy Ultra Gold Bebida Energética sin azúcar lata 500 ml.,1.79,3.58,bebidas,alcoholes,Bodega,LITRO
Ambientador para coche bebé Carrefour 1 ud.,1.79,1.79,limpieza y hogar,ambientadores,Limpieza y hogar,UNIDAD
Ensalada gourmet Carrefour 320 g,1.79,5.59,productos frescos,verduras y hortalizas,"Aceite, especias y salsas",KILO
Ambientador para coche olor frutos rojos Carrefour 1 ud.,1.79,1.79,limpieza y hogar,ambientadores,Limpieza y hogar,UNIDAD
Vela perfumada jazmín Carrefour Essential 1 ud.,1.79,1.79,limpieza y hogar,ambientadores,Limpieza y hogar,UNIDAD
Monster Energy Juiced Bebida Energética ripper lata 50 cl.,1.79,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Natillas de chocolate con alto contenido en proteínas Reina sin gluten pack de 4 unidades de 125 g.,1.79,3.58,la despensa,yogures y postres,Postres y yogures,UNIDAD
Ensalada brotes deluxe Carrefour 110 g,1.79,16.27,productos frescos,verduras y hortalizas,"Aceite, especias y salsas",KILO
Vela perfumada frutos silvestres Carrefour Essential 1 ud.,1.79,1.79,limpieza y hogar,ambientadores,Limpieza y hogar,UNIDAD
Monster Energy MIXXD Punch Bebida Energética lata 50 cl.,1.79,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Vela perfumada delicadezza Carrefour Essential 1 ud.,1.79,1.79,limpieza y hogar,ambientadores,Limpieza y hogar,UNIDAD
Vela perfumada de vainilla Carrefour Essential 1 ud.,1.79,1.79,limpieza y hogar,ambientadores,Limpieza y hogar,UNIDAD
Monster Juiced Bebida Energética Limonada lata 50 cl.,1.79,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Tomate pera Carrefour 1 kg aprox,1.79,1.79,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Cebolla blanca Carrefour 500 g,1.79,3.58,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Vela perfumada canela Carrefour Essential 1 ud.,1.79,1.79,limpieza y hogar,ambientadores,"Aceite, especias y salsas",UNIDAD
Canónigo Carrefour 200 g,1.79,8.95,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Harina de trigo repostería Gallo 1 kg.,1.79,1.79,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Snack patatas Papa Delta Grefusa 73 g.,1.78,24.38,la despensa,aperitivos,Aperitivos,KILO
Chocolate blanco con coco rallado caramelizado Carrefour Extra 200 g.,1.78,8.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Queso fresco de Burgos Carrefour pack de 2 unidades de 250 g.,1.78,3.56,productos frescos,quesos,Charcutería y quesos,KILO
Galleta dorada sin azúcares añadidos Carrefour 460 g.,1.78,3.87,la despensa,desayuno,Cereales y galletas,KILO
Galletas mini con tableta de chocolate con leche Carrefour Classic 160 g.,1.78,11.12,la despensa,desayuno,Cereales y galletas,KILO
"Leche entera Central Lechera Asturiana botella 1,5 l.",1.78,0.0,la despensa,lacteos,"Huevos, leche y mantequilla",No especificado
Tortitas con canela Inés Rosales 180 g.,1.78,9.89,la despensa,panaderia bolleria y pasteleria,"Aceite, especias y salsas",KILO
Toallitas Bebé Carrefour Piel Atópica 63 uds,1.78,0.03,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Queso fresco desnatado de Burgos Carrefour pack de 2 unidades de 250 g.,1.78,3.56,productos frescos,quesos,Charcutería y quesos,KILO
Filetes de caballa del sur en aceite de girasol Ubago 65 g.,1.78,27.38,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Tortitas de maíz sabor queso ibérico Bicentury 70 g.,1.78,25.43,la despensa,aperitivos,Aperitivos,KILO
Yogur estilo griego sabor plátano y caramelo Carrefour sin gluten pack de 4 unidades de 125 g.,1.78,3.56,la despensa,yogures y postres,Postres y yogures,KILO
Bebida de almendras sin azúcar añadido ecológica Carrefour Bio sin gluten Brik 1 l.,1.78,1.78,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO
"Snack de tomate, queso y orégano Natuchips Snatt's sin gluten 85 g.",1.78,18.74,la despensa,aperitivos,Aperitivos,KILO
Discos desmaquillantes suaves ecológicos Carrefour Bio 70 ud.,1.78,0.03,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,UNIDAD
Leche semidesnatada VitaCalcio Puleva sin lactosa brik 1 l.,1.78,1.78,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO
Caldo de pollo y jamón Extra Carrefour sin gluten brick 1 l.,1.78,1.78,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",LITRO
Confitura de naranja categoría extra light Carrefour 300 g.,1.78,5.93,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Tortitas de maíz receta mediterránea Bicentury 70 g.,1.78,25.43,la despensa,aperitivos,Aperitivos,KILO
Nachos ecológicos Carrefour Bio 125 g.,1.78,14.24,la despensa,aperitivos,Aperitivos,KILO
Bolsas de congelación grandes Carrefour 50 ud.,1.78,0.04,limpieza y hogar,conservacion de alimentos,Cuidado facial y corporal,UNIDAD
Tortitas de maíz sabor jamón ibérico Bicentury 70 g.,1.78,25.43,la despensa,aperitivos,Aperitivos,KILO
Bollito relleno de cacao mini Bollycao sin aceite de plama 6 ud.,1.78,19.78,la despensa,panaderia bolleria y pasteleria,"Aceite, especias y salsas",KILO
Café descafeinado en cápsulas Simpl compatibles con Nespresso 10 ud.,1.77,35.4,la despensa,desayuno,"Cacao, café e infusiones",KILO
Queso de vaca tierno 200 g.,1.77,8.85,productos frescos,quesos,Charcutería y quesos,KILO
Caldo de pollo - 30% sal Avecrem Gallina Blanca sin gluten 10 pastillas,1.77,18.63,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Crackers sabor bacon Tuc 100 g.,1.77,17.7,la despensa,aperitivos,Aperitivos,KILO
Snack crema de queso para gatos pequeños Vitakraft 70 g,1.77,25.29,mascotas,gatos,Mascotas,KILO
Agua micelar desmaquillante Carrefour Soft 100 ml.,1.77,1.771,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Patatas fritas sabor huevo frito con jamón Vicente Vidal 125 g.,1.77,14.16,la despensa,aperitivos,Aperitivos,KILO
Café lungo en cápsulas Simpl compatible con Nespresso 10 ud.,1.77,35.4,la despensa,desayuno,"Cacao, café e infusiones",KILO
Tortitas de maíz Pop Corn Bicentury 70 g.,1.77,25.29,la despensa,aperitivos,Aperitivos,KILO
Leche semidesnatada con calcio Pascual brik 1 l.,1.77,0.0,la despensa,lacteos,"Huevos, leche y mantequilla",No especificado
Alubia blanca La Muralla 1 kg.,1.77,1.77,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Judías verdes planas contenido bajo de sal Carrefour 360 g.,1.77,4.92,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Crackers sabor queso Tuc 100 g.,1.77,17.7,la despensa,aperitivos,Aperitivos,KILO
Aperitivo de maíz X-Hot Risketos sin gluten 135 g.,1.77,13.11,la despensa,aperitivos,Aperitivos,KILO
Salsa ranchera Sensation Carreofur sin gluten bote 300 g.,1.77,5.9,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Café Espresso en cápsulas Simpl compatible con Nespresso 10 ud.,1.77,35.4,la despensa,desayuno,"Cacao, café e infusiones",KILO
"Azafrán en hebra Classic Carrefour 0,4 g.",1.77,1.77,la despensa,alimentacion,"Aceite, especias y salsas",UNIDAD
Galleta cubierta con chocolate Milka Choco Moo 120 g.,1.77,14.75,la despensa,desayuno,Cereales y galletas,KILO
Leche desnatada 0% MG con calcio Pascual brik 1 l.,1.77,0.0,la despensa,lacteos,"Huevos, leche y mantequilla",No especificado
Regañás Classic Carrefour No Gluten sin gluten y sin lactosa 80 g.,1.77,22.12,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Chocolate negro Perú 85% cacao ecológico Carrefour Bio 100 g.,1.77,17.7,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Tallos de espárragos blancos Classic Carrefour 250 g.,1.77,7.08,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Horquilla clásicas negras Ponette 20 ud.,1.77,0.09,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Compresas ultra finas con alas Teen Day Carrefour Soft 14 ud.,1.77,0.13,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Yogur desnatado con trozos de fresa Carrefour Classic' sin gluten y sin azúcar añadido pack de 6 unidades de 125 g.,1.77,2.36,la despensa,yogures y postres,Postres y yogures,KILO
Compresas ultra finas con alas noche Teen night  Carrefour 12 ud.,1.77,0.15,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Chocolate con leche relleno sabor caramelo con flor de sal Carrefour 125 g.,1.77,14.16,la despensa,dulce,"Aceite, especias y salsas",KILO
Mejillones al natural Dani 69 g.,1.77,25.65,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Gel de afeitar frescor piel normal Carrefour Men 200 ml.,1.77,0.881,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,100 ML
Garbanza blanca cocida Don Pedro 400 g.,1.77,4.42,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Batido de cacao sin azúcar añadido Cacaolat sin gluten 200 ml.,1.77,8.85,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO
Copos de maíz azucarados Carrefour Kids 500 g.,1.76,3.52,la despensa,desayuno,Cereales y galletas,KILO
Galletas horneadas Carrefour 500 g.,1.76,3.52,la despensa,desayuno,Cereales y galletas,KILO
Puerro en rodajas Carrefour Classic 1 kg.,1.76,1.76,congelados,verduras congeladas,Congelados,KILO
Crema de chocolate blanco Nestlé Milkybar pack de 2 unidades de 70 g.,1.76,12.57,la despensa,yogures y postres,Postres y yogures,KILO
Crema de chocolate y caramelo Extrafino Nestlé pack de 2 unidades de 70 g.,1.76,12.57,la despensa,yogures y postres,Postres y yogures,KILO
Hot dog Bimbo 4 ud.,1.76,8.0,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Galletas Tosta Kids Family Biscuits 600 g.,1.76,2.93,la despensa,desayuno,Cereales y galletas,KILO
Cerveza Inedit Damm malta botella 33 cl.,1.76,5.33,bebidas,cerveza,Bodega,LITRO
Galletas de 5 cereales y leche Carrefour Classic 400 g.,1.75,4.37,la despensa,desayuno,Cereales y galletas,KILO
Pepinillos laminados agridulces Classic Carrefour 290 g.,1.75,6.03,la despensa,aperitivos,Aperitivos,KILO
Pañuelo mentol Carrefour 10 ud.,1.75,0.17,limpieza y hogar,papel y celulosa,Limpieza y hogar,UNIDAD
Nata líquida para cocinar Carrefour pack de 3 unidades de 200 ml.,1.75,2.92,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO
Compresas Fina y Segura normal con alas Evax 12 ud.,1.75,0.15,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Ositos de goma Party Box Haribo 75 g.,1.75,23.33,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Preparado para flan y natillas Flanín El niño Maizena 192 g.,1.75,9.11,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Galletas Digestive Carrefour Sensation 800 g.,1.75,2.19,la despensa,desayuno,Cereales y galletas,KILO
Queso cheddar en lonchas Carrefour 200 g.,1.75,8.75,productos frescos,quesos,Charcutería y quesos,KILO
Ambientador automático ropa limpia recambio Essential Carrefour 1 ud.,1.75,7.0,limpieza y hogar,ambientadores,Limpieza y hogar,LITRO
Tomate pera ecológico Carrefour Bio 500 g,1.75,3.5,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Queso roquefort D.O.P Extra Carrefour cuña 100 g,1.75,17.5,productos frescos,quesos,Charcutería y quesos,KILO
LIMPIA VITROCERAM.CRF PIST 500,1.75,3.5,limpieza y hogar,productos para cocina,Limpieza y hogar,LITRO
Altramuces Carrefour 440 g.,1.75,3.98,la despensa,aperitivos,Aperitivos,KILO
Ambientador automático colonia recambio Essential Carrefour 1 ud.,1.75,7.0,limpieza y hogar,ambientadores,Limpieza y hogar,LITRO
Ambientador automático vainilla recambio Essential Carrefour 1 ud.,1.75,7.0,limpieza y hogar,ambientadores,Limpieza y hogar,LITRO
Ambientador automático muguete recambio Essential Carrefour 1 ud.,1.75,7.0,limpieza y hogar,ambientadores,Limpieza y hogar,LITRO
Queso fundido en lonchas burguer Carrefour 300 g.,1.75,5.83,productos frescos,quesos,Charcutería y quesos,KILO
Salsa de queso Sensation Carrefour 300 g.,1.75,5.83,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Quitamanchas ropa blanca en gel Oxy Power Carrefour 2 l.,1.75,0.87,limpieza y hogar,cuidado de la ropa,Cuidado facial y corporal,LITRO
Pan de la abuela integral 100%,1.75,4.86,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
"Chics York, Queso y Atún Carrefour 15 ud.",1.75,0.12,productos frescos,panaderia tradicional,Panadería y pastelería,UNIDAD
Cúrcuma ecológica  150 g,1.75,11.67,productos frescos,verduras y hortalizas,"Aceite, especias y salsas",KILO
Mini Fuet de Pavo Snack'in Campofrío 50 g,1.75,35.0,productos frescos,charcuteria,Charcutería y quesos,KILO
Remolacha  manojo de 500 g,1.75,3.5,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Zumo Romantics Detox Ginger botella 50 cl.,1.75,29.17,bebidas,aguas y zumos,Zumos,LITRO
Mini Chorizo Snack'in Campofrío sin gluten 50 g,1.75,35.0,productos frescos,charcuteria,Charcutería y quesos,KILO
Mini Fuet Snack'in Campofrío 50 g,1.75,35.0,productos frescos,charcuteria,Charcutería y quesos,KILO
Zumo de naranja y mango Carrefour botella 25 cl,1.75,7.0,bebidas,aguas y zumos,Zumos,LITRO
Smoothie fresa y plátano Carrefour botella 25 cl.,1.75,7.0,bebidas,aguas y zumos,Zumos,LITRO
Zumo de manzana y frutos del bosque Carrefour botella 25 cl.,1.75,7.0,bebidas,aguas y zumos,Zumos,LITRO
"Ambientador automático flor de cerezo recambio Essential 
Carrefour 1 ud.",1.75,7.0,limpieza y hogar,ambientadores,Limpieza y hogar,LITRO
Acelgas sin sal añadida Classic Carrefour 425 g.,1.75,4.12,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Patas fritas Santa Ana 150 g.,1.75,11.67,la despensa,aperitivos,Aperitivos,KILO
Salsa brava Classic Carrefour envase 300 g.,1.75,5.83,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Ambientador automático manzana canela recambio Essential Carrefour 1 ud.,1.75,7.0,limpieza y hogar,ambientadores,"Aceite, especias y salsas",LITRO
Comida húmeda arroz y zanahora para perro adulto Canibaq 1 kg,1.75,1.75,mascotas,perros,"Arroz, legumbres y pasta",KILO
Zumo de fruta y leche Don Simón Caribe zero pack de 6 briks de 20 cl.,1.75,1.46,bebidas,aguas y zumos,Zumos,LITRO
Dentífrico blanqueador bicarbonato Signal 100 ml.,1.75,1.751,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,100 ML
Dentífrico protección caries Maximum Caries Protection Colgate 50 ml.,1.75,3.501,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,100 ML
Néctar de naranja sin azúcar añadido Carrefour pack de 6 Brik de 20 cl.,1.75,1.46,bebidas,aguas y zumos,Zumos,LITRO
Zumo de piña y coco Carrefour botella 250 ml,1.75,7.0,bebidas,aguas y zumos,Zumos,LITRO
Bandas de cera depilatoria frías zona bikini y axilas pieles sensibles Carrefour Soft 16 ud.,1.75,0.11,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,UNIDAD
Brocomole Carrefour tarrina 200 g,1.75,8.75,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Crema de afeitar piel sensible Lea 100 g.,1.75,1.751,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,100 GR
Paté Ibérico Carrefour El Mercado sin gluten 100 g,1.75,17.5,productos frescos,charcuteria,"Cacao, café e infusiones",KILO
Pulpa de aguacate Carrefour 125 g,1.75,14.0,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Panini Bacon 165 g,1.75,10.61,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
"Chics Bikini, Atún y Sobrasada Carrefour 15 ud.",1.75,0.12,productos frescos,panaderia tradicional,Panadería y pastelería,UNIDAD
Salchichas cocidas Wieners bocadillo Oscar Mayer sin gluten sin lactosa 275 g.,1.75,6.36,productos frescos,charcuteria,"Aceite, especias y salsas",KILO
Ambientador automático lavanda recambio Essential Carrefour 1 ud.,1.75,7.0,limpieza y hogar,ambientadores,Limpieza y hogar,LITRO
Garbanzo castellano cocido categoría extra De Nuestra Tierra 400 g.,1.75,4.37,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Preparado para flanes y natillas Potax 192 g.,1.75,9.11,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Patatas fritas a la sartén Carrefour pack de 2 bolsas de 150 g.,1.75,5.83,la despensa,aperitivos,"Cacao, café e infusiones",KILO
20 Bolsas de Basura Plástico Reciclado CARREFOUR Lavanda 30 l.,1.75,0.09,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD
Acelga roja manojo de 800 g,1.75,2.19,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Lenteja categoría extra ecológica Carrefour Bio 500 g.,1.75,3.5,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Copos de cereales chocolateados  Carrefour Kids 500 g.,1.75,3.5,la despensa,desayuno,Cereales y galletas,KILO
20 Bolsas de Basura Plástico Reciclado CARREFOUR Pino 30 l.,1.75,0.09,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD
"Vino blanco Don Simón pack de 3 briks de 18,7 cl.",1.75,3.12,bebidas,vinos,Bodega,LITRO
Toallitas para bebé Dodot 64 ud.,1.75,0.03,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Bolsas Basura de Material Reciclado CARREFOUR 50 l. 15 ud - Blanco,1.75,0.12,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD
Picos 100% de espelta Carrefour El Mercado 140 g,1.75,12.5,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
Povidona iodada Carrefour 125 ml.,1.75,1.401,parafarmacia,botiquin,Fitoterapia y parafarmacia,100 ML
"Leche semidesnatada Central Lechera Asturiana botella 1,5 l.",1.75,0.0,la despensa,lacteos,"Huevos, leche y mantequilla",No especificado
Bebida de avena sin azúcar añadido YoSoy sin gluten brik 1 l.,1.75,1.75,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO
