Nombre,Precios,Precios_unidad,Subcategoria,Categorias,Unidad de referencia,Marca,Supermercado,Precio_Estatus
Spray protector solar antialergias solares FP50+ Sensitive Protección Nivea Sun 270 ml.,16.49,6.111,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Pomada para proteger la zona del pañal Mitosyl 145 g.,16.49,11.371,perfumeria e higiene,Cuidado facial y corporal,100 GR,,Carrefour,outlier
Lavavajillas a máquina en pastillas Ultimate Finish Powerball 29 ud.,16.49,0.57,productos para cocina,Limpieza y hogar,LAVADO,,Carrefour,outlier
Agua de colonia Classic David Beckham 100 ml.,16.45,16.451,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Ginebra Puerto de Indias lemonberry 70 cl.,16.45,23.5,alcoholes,Bodega,LITRO,,Carrefour,outlier
Pants Pull-Ups niño Huggies T6 (15-23 kg) 28 ud.,16.45,0.59,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
"Ginebra Puerto de Indias strawberry 0,0 sin alcohol 70 cl.",16.45,23.5,alcoholes,Bodega,LITRO,PUERTO INDIAS,Carrefour,outlier
Tanqueray Flor De Sevilla Ginebra,16.45,23.5,alcoholes,Bodega,LITRO,TANQUERAY,Carrefour,outlier
"Bacalao 1,5 kg aprox",16.42,10.95,pescaderia,Marisco y pescado,KILO,,Carrefour,outlier
Acondicionador con mango Klorane 200 ml.,16.39,8.191,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Queso de cabra tierno El Ventero 550 g,16.39,29.8,quesos,Charcutería y quesos,KILO,VENTERO,Carrefour,outlier
Proteína vegana de vainilla Weider sin gluten 300 g.,16.39,54.63,alimentacion,"Salsas, pasta y refrescos",KILO,,Carrefour,outlier
Leche infantil desde 1 día en polvo Nutribén sin lactosa 1 sin aceite de palma lata 400 g.,16.39,40.97,bebe,"Aceite, especias y salsas",KILO,SIN LACTOSA,Carrefour,outlier
Gel suave fisiológico para la higiene íntima diaria Germisdin 500 ml.,16.39,3.281,cuidado corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
"Queso viejo mezcla Tierra de Tradición pieza 1,1 kg.",16.39,14.9,quesos,Charcutería y quesos,KILO,TIERRA,Carrefour,outlier
Champú lemongrass citronela ecológico Urtekram 500 ml.,16.39,3.281,cabello,Bodega,100 ML,URTEKRAM,Carrefour,outlier
