Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio,categoria_principal,Marca
Melocotón rojo granel 750 g aprox.,Frutas,Frutas de temporada,KILO,4.49,3.37,Fruta y verdura,otra
Café en cápsulas espresso intenso Nescafé Dolce Gusto caja 16 unidades,"Café, cacao e infusiones",Café,UNIDAD,0.27,4.25,"Cacao, café e infusiones",Nescafé
Infusión duerme bien Pompadour caja 20 unidades,"Café, cacao e infusiones",Té e infusiones,UNIDAD,0.14,2.79,"Cacao, café e infusiones",otra
Salsa de soja Heinz frasco 150 ml,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",LITRO,19.93,2.99,"Aceite, especias y salsas",otra
Batido de chocolate Puleva brik 6 x 200 ml,"Leche, huevos y mantequilla",Batidos y horchatas,LITRO,2.29,2.75,"Huevos , leche y mantequilla",otra
Salsa para hamburguesas Salseo de Dia bote 300 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,5.63,1.69,"Aceite, especias y salsas",Dia
Salsa barbacoa Salseo de Dia bote 360 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,3.03,1.09,"Aceite, especias y salsas",Dia
Ketchup light Salseo de Dia bote 540 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,2.69,1.45,"Aceite, especias y salsas",Dia
Leche desnatada Central Lechera Asturiana botella 6 x 1.5 l,"Leche, huevos y mantequilla",Leche,LITRO,1.06,9.54,"Huevos , leche y mantequilla",Central Lechera Asturiana
Leche desnatada Central Lechera Asturiana botella 1.5 l,"Leche, huevos y mantequilla",Leche,LITRO,1.06,1.59,"Huevos , leche y mantequilla",Central Lechera Asturiana
Leche entera Central Lechera Asturiana botella 6 x 1.5 l,"Leche, huevos y mantequilla",Leche,LITRO,1.13,10.14,"Huevos , leche y mantequilla",Central Lechera Asturiana
Leche entera Central Lechera Asturiana botella 1.5 l,"Leche, huevos y mantequilla",Leche,LITRO,1.13,1.69,"Huevos , leche y mantequilla",Central Lechera Asturiana
