Nombre,Precio,Precio_unit,Categoria,Subcategoria,categoria_principal,Unidad_medida,Marca
Gel suave fisiológico para la higiene íntima diaria Germisdin 500 ml.,16.39,3.281,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML,
"Queso viejo mezcla Tierra de Tradición pieza 1,1 kg.",16.39,14.9,productos frescos,quesos,Charcutería y quesos,KILO,TIERRA
Champú lemongrass citronela ecológico Urtekram 500 ml.,16.39,3.281,perfumeria e higiene,cabello,Bodega,100 ML,URTEKRAM
Estuche Poseidon Gold: colonia 100 ml y after shave 100 ml.,16.39,16.39,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,UNIDAD,
Bruma protectora anti arena SPF50+ Niños Sensitive Advanced Garnier Delial 150 ml.,16.39,10.931,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML,
Vitaminas y coenzima Q10 gummies adultos Supradyn 50 ud.,16.39,8.191,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,
Aceite de rosa de mosqueta Phytofarma 30 ml.,16.35,54.501,parafarmacia,cuidado corporal,"Aceite, especias y salsas",100 ML,
Pañales Carrefour Baby Ultra Dry Talla 5 Junior (12-20 kg) 84 uds,16.35,0.19,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD,
Pañales Carrefour Baby Ultra Dry Talla 5 (12-20 kg) 84 ud.,16.35,0.19,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD,
Recambios maquinilla ingles y zona íntima Venus Gillette 4 ud.,16.35,0.0,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,No especificado,
Colutorio de uso diario que previene el sangrado gingival causado por encías delicadas y gingivitis Gingilacer 1000 ml.,16.29,1.631,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML,
Café en grano natural espresso intenso Caffè Borbone 1000 g.,16.29,16.29,la despensa,desayuno,"Cacao, café e infusiones",KILO,BORBONE
