Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio
L106,Palitos de pan y crema de cacao Bollycao vaso 52 g,"Galletas, bollos y cereales",Bollería,KILO,38.27,1.99
L106,Conchas de chocolate Codan bolsa 330 g,"Galletas, bollos y cereales",Bollería,KILO,6.94,2.29
L106,Galletas digestive con avena y chocolate Gullón caja 425 g,"Galletas, bollos y cereales",Galletas,KILO,5.15,2.19
L106,Rosquillas de chocolate El molino de Dia bandeja 240 g,"Galletas, bollos y cereales",Bollería,KILO,7.46,1.79
L106,Golosinas surtidas little mix Fini tarrina 500 g,"Azúcar, chocolates y caramelos","Caramelos, chicles y golosinas",KILO,7.58,3.79
L106,Barritas de cereales con chocolate nesquik Nestlé caja 150 g,"Galletas, bollos y cereales",Cereales,KILO,19.93,2.99
L106,Cereales integrales con chocolate negro Nestlé Fitness caja 375 g,"Galletas, bollos y cereales",Cereales,KILO,9.31,3.49
L106,Ensaimadas El molino de Dia bolsa 220 g,"Galletas, bollos y cereales",Bollería,KILO,5.41,1.19
L106,Galletas digestive con chocolate con leche Fontaneda caja 300 g,"Galletas, bollos y cereales",Galletas,KILO,12.33,3.7
L106,Magdalenas rellenas con crema de cacao El molino de Dia bolsa 336 g,"Galletas, bollos y cereales",Bollería,KILO,5.03,1.69
L106,Bombones rellenos de coco y almendra Ferrero Raffaello caja 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,26.33,3.95
L106,Bombones cortados clásicos Trapa caja 115 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,20.43,2.35
L106,Barritas de cereales con chocolate con leche Corny caja 150 g,"Galletas, bollos y cereales",Cereales,KILO,16.6,2.49
L106,Roscos de galleta con chocolate con leche chocoaros Galleteca de Dia bolsa 128 g,"Galletas, bollos y cereales",Galletas,KILO,6.17,0.79
L106,Galletas digestive Galleteca de Dia caja 800 g,"Galletas, bollos y cereales",Galletas,KILO,2.19,1.75
L106,Gazpacho Al Punto Dia brik 3 x 330 ml,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,1.97,1.95
L106,Chocolate con leche y almendras Temptation de Dia 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,7.67,1.15
L106,Chocolate con leche y avellanas Temptation de Dia 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,7.67,1.15
L106,Chocolate blanco Temptation de Dia 2 x 200 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,7.5,1.5
L106,Chocolate con leche Temptation de Dia 2 x 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,6.63,1.99
L106,Palmeritas El molino de Dia bandeja 245 g,"Galletas, bollos y cereales",Bollería,KILO,4.98,1.22
L106,Galletas digestive sin azúcares Gullón caja 400 g,"Galletas, bollos y cereales",Galletas,KILO,6.63,2.65
L106,Huevo de chocolate con sorpresa joy Kinder 20 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,70,1.4
